file,question,gt_answer,llm_answer,correct
algebra__linear_1d.txt,Solve -20*b + 128*b + 648 = 0 for b.,-6,-20,False
algebra__linear_1d.txt,Solve 0 = 20*g + 2*g - 198 for g.,9,0,False
algebra__linear_1d.txt,Solve -x = 11 - 8 for x.,-3,11,False
algebra__linear_1d_composed.txt,Let b be (-208)/(-20) - (-7)/(70/(-4)). Solve 16*r = 14*r - b for r.,-5,-208,False
algebra__linear_1d_composed.txt,Let p be (-27)/18 - (-57)/6. Solve 2*o - p = -0*o for o.,4,-27,False
algebra__linear_1d_composed.txt,Let l = -38 + 22. Let h = -9 - l. Let r = -3 + h. Solve 3*x - r = 4*x for x.,-4,-38,False
algebra__linear_2d.txt,"Solve 4*b = -5*n - 21, -b - 3*n = b + 11 for b.",-4,4,False
algebra__linear_2d.txt,"Solve 13 = -2*a - 0*a - 3*u, 3*a + 2*u + 17 = 0 for a.",-5,13,False
algebra__linear_2d.txt,"Solve 0 = -3*i + 3*p + 12, -3 = -i - p - 9 for i.",-1,0,False
algebra__linear_2d_composed.txt,"Let n(j) = j**2 - 8*j + 5. Let x be n(8). Solve 24 = -4*k - 0*k - 4*z, -x*k + 3*z + 10 = 0 for k.",-1,2,False
algebra__linear_2d_composed.txt,"Let w(r) = -r**3 + 2*r**2 - 1. Suppose -3*o - 2 = -c, -2*c - 1 = -2*o + c. Let a be w(o). Let p = a - -1. Solve 4*t + 3*h + 4 = -h, -5*t = -p*h + 37 for t.",-5,3,False
algebra__linear_2d_composed.txt,"Suppose 7*m + 8 = 11*m. Suppose -20 = -3*v - m*v. Solve c - 2*f = -3*c - 12, -v*f = 4*c for c.",-2,7,False
algebra__polynomial_roots.txt,Find w such that 6*w**4 + 2*w**3 - 10*w**2 - 2*w + 4 = 0.,"-1, 2/3, 1",6,False
algebra__polynomial_roots.txt,Factor 4*p**5 - 20*p**4 - 56*p**3.,4*p**3*(p - 7)*(p + 2),4,False
algebra__polynomial_roots.txt,Factor 3*k**4 + 168*k**3 + 2997*k**2 + 16032*k - 19200.,3*(k - 1)*(k + 16)**2*(k + 25),3,False
algebra__polynomial_roots_composed.txt,Suppose 2*x**3 + 16*x**2 - 8*x**3 - 43*x - 12 + 53*x = 0. What is x?,"-1, 2/3, 3",2,False
algebra__polynomial_roots_composed.txt,Let p be (-89)/3*(-64)/6. Let z = p + -316. Factor -14/9*o**4 + 2*o**3 + 0 + 0*o - z*o**2.,-2*o**2*(o - 1)*(7*o - 2)/9,-89,False
algebra__polynomial_roots_composed.txt,Let k(v) be the third derivative of v**6/144 - 13*v**5/360 + v**4/36 + v**3/9 - v**2 + v. Find x such that k(x) = 0.,"-2/5, 1, 2",6,False
algebra__sequence_next_term.txt,"What is next in -407, -406, -405?",-404,-407,False
algebra__sequence_next_term.txt,"What comes next: 237, 472, 707, 942, 1177?",1412,237,False
algebra__sequence_next_term.txt,"What comes next: 28, 25, 10, -23, -80, -167, -290?",-455,28,False
algebra__sequence_nth_term.txt,"What is the l'th term of -5546, -11091, -16636?",-5545*l - 1,-5546,False
algebra__sequence_nth_term.txt,"What is the i'th term of 1, 3, 5, 7, 9, 11?",2*i - 1,1,False
algebra__sequence_nth_term.txt,"What is the g'th term of 33, 90, 175, 288, 429, 598, 795?",14*g**2 + 15*g + 4,33,False
arithmetic__add_or_sub.txt,1.480219 - 0.2,1.280219,1.480219,False
arithmetic__add_or_sub.txt,What is 0.06 less than -0.2?,-0.26,0.06,False
arithmetic__add_or_sub.txt,What is 62.131 + -4?,58.131,62.131,False
arithmetic__add_or_sub_in_base.txt,"In base 6, what is 12 - 1134?",-1122,6,False
arithmetic__add_or_sub_in_base.txt,"In base 8, what is -1 - 225?",-226,8,False
arithmetic__add_or_sub_in_base.txt,"In base 10, what is 6 - -1597?",1603,10,False
arithmetic__add_sub_multiple.txt,(-2 - (1 - -4)) + 2,-5,-2,False
arithmetic__add_sub_multiple.txt,-2 + 4 - (8 + -3 + 2),-5,-2,False
arithmetic__add_sub_multiple.txt,Calculate 0 + 3 + 1 + (-2 - -1).,3,0,False
arithmetic__div.txt,Calculate 1110 divided by 2.,555,1110,False
arithmetic__div.txt,Divide -4 by -89.,4/89,-4,False
arithmetic__div.txt,15 divided by 1778,15/1778,15,False
arithmetic__mixed.txt,What is the value of ((-8)/6)/(14/21)?,-2,-8,False
arithmetic__mixed.txt,10/3*6/(-4) + -1,-6,10,False
arithmetic__mixed.txt,What is 96/190 - (-14)/(-35)?,2/19,96,False
arithmetic__mul.txt,Product of 38 and -6.,-228,38,False
arithmetic__mul.txt,0.1 times 0.0714,0.00714,0.1,False
arithmetic__mul.txt,What is the product of -53 and 6?,-318,-53,False
arithmetic__mul_div_multiple.txt,What is the value of (1*3/(-1))/1?,-3,1,False
arithmetic__mul_div_multiple.txt,What is the value of 3/2*240/(-180)?,-2,3,False
arithmetic__mul_div_multiple.txt,((-1260)/14)/(-10)*1/9,1,-1260,False
arithmetic__nearest_integer_root.txt,"What is 178907 to the power of 1/3, to the nearest integer?",56,178907,False
arithmetic__nearest_integer_root.txt,What is the third root of 2402 to the nearest integer?,13,2402,False
arithmetic__nearest_integer_root.txt,"What is 11955 to the power of 1/3, to the nearest integer?",23,11955,False
arithmetic__simplify_surd.txt,Simplify (-4 + sqrt(208)*-1)**2 + (-1 + sqrt(26)/sqrt(2))**2 + -3.,30*sqrt(13) + 235,-4,False
arithmetic__simplify_surd.txt,Simplify sqrt(147) + (sqrt(147) + (sqrt(147) - (1 + sqrt(147))) + 5 + sqrt(147))**2 - ((0 + sqrt(12))**2 + sqrt(3) + (sqrt(9)/sqrt(3)*-5 - sqrt(3))).,124*sqrt(3) + 592,147,False
arithmetic__simplify_surd.txt,Simplify (((-4*sqrt(450))/sqrt(10))/sqrt(9))**2 + -4.,76,-4,False
calculus__differentiate.txt,Differentiate -b*l + 156*b + 2*l - 239 wrt b.,156 - l,156,False
calculus__differentiate.txt,Find the third derivative of -39*f*s*x*z + 2*f*x**4 + f*x**2*z + 2*f*x + 3*f - 2*s*x**3*z + 2*s*x**2*z - 82*x**3*z wrt x.,48*f*x - 12*s*z - 492*z,-39,False
calculus__differentiate.txt,Differentiate 22*m - 453 wrt m.,22,22,True
calculus__differentiate_composed.txt,Let k(w) be the third derivative of -w**6/90 + w**5/20 - w**4/24 + 6*w**2. Let x(h) be the second derivative of k(h). What is the derivative of x(i) wrt i?,-8,6,False
calculus__differentiate_composed.txt,Let m(w) be the third derivative of w**7/42 + 5*w**3/6 - 4*w**2. Differentiate m(g) wrt g.,20*g**3,7,False
calculus__differentiate_composed.txt,Find the first derivative of 1 - 11 - 7 + 4 - 15*u wrt u.,-15,1,False
comparison__closest.txt,Which is the closest to 1?  (a) -1  (b) 2  (c) -52,b,1,False
comparison__closest.txt,Which is the closest to 0.1?  (a) 0.2  (b) -3/26  (c) 4,a,0.1,False
comparison__closest.txt,"What is the nearest to 161 in 4, 0.1, 0.4, -4?",4,161,False
comparison__closest_composed.txt,Let u(f) = -f - 4. Let g be u(-4). Let j = 1.2 - 0.2. Let s = j - 0. Which is the closest to s?  (a) -3/4  (b) -1/10  (c) g,c,4,False
comparison__closest_composed.txt,Let q = -0.9 + -3. Let f = q - -4. Let j = 0.03 + -3.03. Which is the closest to 1?  (a) f  (b) 4  (c) j,a,-0.9,False
comparison__closest_composed.txt,Let i be 0 + -1 + (-19)/(-21). Let p = -0.5 - 0.5. Which is the nearest to -0.1?  (a) p  (b) 0.2  (c) i,c,0,False
comparison__kth_biggest.txt,Which is the fourth biggest value?  (a) -3  (b) -123  (c) 1  (d) -5/2,b,-3,False
comparison__kth_biggest.txt,"What is the fourth biggest value in 0.1, 0.57, -26, -3, -3/5?",-3,0.1,False
comparison__kth_biggest.txt,Which is the fourth smallest value?  (a) 0  (b) -4  (c) 4  (d) -50,c,0,False
comparison__kth_biggest_composed.txt,"Let o be 19/10 + 9/(-6). What is the third biggest value in -0.06, -4, o?",-4,19,False
comparison__kth_biggest_composed.txt,"Let o = 342232/2775 - -6/925. Let g = o - 122. What is the third smallest value in 0.5, g, 4?",4,342232,False
comparison__kth_biggest_composed.txt,Let w = -683.8 - -628. Let x = w + 61. Let q = -5 + x. Which is the second biggest value?  (a) -3  (b) q  (c) 2,b,-683.8,False
comparison__pair.txt,Which is smaller: -509/4 or -127?,-509/4,-509,False
comparison__pair.txt,Which is smaller: 0 or -10.1?,-10.1,0,False
comparison__pair.txt,Which is smaller: -1/311 or -1?,-1,-1,True
comparison__pair_composed.txt,Suppose -j = 2*j - 357. Let q = j + -1189/10. Let m = -13/30 + q. Is m greater than 2/11?,False,2,False
comparison__pair_composed.txt,Let m = -6 + 8. Let p = -19/2 + 10. Do p and m have different values?,True,-6,False
comparison__pair_composed.txt,Let c = 0 + -12. Let x = c + -3. Is -16 at least x?,False,0,False
comparison__sort.txt,"Sort 0.2, 1/10, 1/2, -5 in decreasing order.","1/2, 0.2, 1/10, -5",0.2,False
comparison__sort.txt,"Put 8/9, 3, 1/2, -0.2, -0.057 in decreasing order.","3, 8/9, 1/2, -0.057, -0.2",8,False
comparison__sort.txt,"Sort -348, -5, -15 in ascending order.","-348, -15, -5",-348,False
