split,file,question,gt_answer,llm_answer,correct
train-easy,algebra__linear_1d.txt,Solve -20*b + 128*b + 648 = 0 for b.,-6,5,False
train-easy,algebra__linear_1d.txt,Solve 0 = 20*g + 2*g - 198 for g.,9,5,False
train-easy,algebra__linear_1d.txt,Solve -x = 11 - 8 for x.,-3,5,False
train-easy,algebra__linear_1d_composed.txt,Let b be (-208)/(-20) - (-7)/(70/(-4)). Solve 16*r = 14*r - b for r.,-5,5,False
train-easy,algebra__linear_1d_composed.txt,Let p be (-27)/18 - (-57)/6. Solve 2*o - p = -0*o for o.,4,5,False
train-easy,algebra__linear_1d_composed.txt,Let l = -38 + 22. Let h = -9 - l. Let r = -3 + h. Solve 3*x - r = 4*x for x.,-4,5,False
train-easy,algebra__linear_2d.txt,"Solve 4*b = -5*n - 21, -b - 3*n = b + 11 for b.",-4,5,False
train-easy,algebra__linear_2d.txt,"Solve 13 = -2*a - 0*a - 3*u, 3*a + 2*u + 17 = 0 for a.",-5,5,False
train-easy,algebra__linear_2d.txt,"Solve 0 = -3*i + 3*p + 12, -3 = -i - p - 9 for i.",-1,5,False
train-easy,algebra__linear_2d_composed.txt,"Let n(j) = j**2 - 8*j + 5. Let x be n(8). Solve 24 = -4*k - 0*k - 4*z, -x*k + 3*z + 10 = 0 for k.",-1,1,False
train-easy,algebra__linear_2d_composed.txt,"Let w(r) = -r**3 + 2*r**2 - 1. Suppose -3*o - 2 = -c, -2*c - 1 = -2*o + c. Let a be w(o). Let p = a - -1. Solve 4*t + 3*h + 4 = -h, -5*t = -p*h + 37 for t.",-5,"ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmpufcjq_14.py"", line 9, in <module>
    w = -3*o - 2
           ^
NameError: name 'o' is not defined
",False
train-easy,algebra__linear_2d_composed.txt,"Suppose 7*m + 8 = 11*m. Suppose -20 = -3*v - m*v. Solve c - 2*f = -3*c - 12, -v*f = 4*c for c.",-2,5,False
train-easy,algebra__polynomial_roots.txt,Find w such that 6*w**4 + 2*w**3 - 10*w**2 - 2*w + 4 = 0.,"-1, 2/3, 1",5,False
train-easy,algebra__polynomial_roots.txt,Factor 4*p**5 - 20*p**4 - 56*p**3.,4*p**3*(p - 7)*(p + 2),24,False
train-easy,algebra__polynomial_roots.txt,Factor 3*k**4 + 168*k**3 + 2997*k**2 + 16032*k - 19200.,3*(k - 1)*(k + 16)**2*(k + 25),6,False
train-easy,algebra__polynomial_roots_composed.txt,Suppose 2*x**3 + 16*x**2 - 8*x**3 - 43*x - 12 + 53*x = 0. What is x?,"-1, 2/3, 3",5,False
train-easy,algebra__polynomial_roots_composed.txt,Let p be (-89)/3*(-64)/6. Let z = p + -316. Factor -14/9*o**4 + 2*o**3 + 0 + 0*o - z*o**2.,-2*o**2*(o - 1)*(7*o - 2)/9,1,False
train-easy,algebra__polynomial_roots_composed.txt,Let k(v) be the third derivative of v**6/144 - 13*v**5/360 + v**4/36 + v**3/9 - v**2 + v. Find x such that k(x) = 0.,"-2/5, 1, 2","ERROR: Traceback (most recent call last):
  File ""/var/folders/gg/wqlmrvl91mj28lsltv0ccxqm0000gn/T/tmp3__7m6q4.py"", line 4, in <module>
    result = second_order_derivative(v)
                                     ^
NameError: name 'v' is not defined
",False
