Put 7, 2, 55, 9, 0, -1, 1, 230, -4 in ascending order.
-4, -1, 0, 1, 2, 7, 9, 55, 230
Sort 2, 8, -5, 5, -9, 4, 3, -41, 10.
-41, -9, -5, 2, 3, 4, 5, 8, 10
Put -3, 1042, 3, 8, -5, 4, 1, 7, 6 in decreasing order.
1042, 8, 7, 6, 4, 3, 1, -3, -5
Put 2, 4, -56, 1, 0, 3, -4, 36, -9 in ascending order.
-56, -9, -4, 0, 1, 2, 3, 4, 36
Sort 6, 4, 468, 7, 1, 0, 3, 39, -3 in increasing order.
-3, 0, 1, 3, 4, 6, 7, 39, 468
Put 0, -9, 5, 7, 85, 2, 3, 12, 1 in decreasing order.
85, 12, 7, 5, 3, 2, 1, 0, -9
Put -5, 2, 5, 3, 4, -771, 77, 7, 0 in decreasing order.
77, 7, 5, 4, 3, 2, 0, -5, -771
Put -3, 36, 1, 54, -2, 5, 49, 3, 0 in increasing order.
-3, -2, 0, 1, 3, 5, 36, 49, 54
Put 1, 5, 30, 2, -6, -4, -5, 8, 44 in decreasing order.
44, 30, 8, 5, 2, 1, -4, -5, -6
Sort 0, -4, 5, 18, -5, 59, 2, 6, -6 in descending order.
59, 18, 6, 5, 2, 0, -4, -5, -6
